,title,keyword,category,score,author,publisher,reviewnum
87,1등에게 박수 치는 게 왜 놀랄 일일까?,배달원 사회학 채플린 종 세트 공무원 시험 세탁기,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['50', '0', '33', '0', '17']",오찬호 저자(글) · 신병근 그림/만화,나무를심는사람들,8.0
88,우리 시대 혐오를 읽다,성소 수자 집단 따돌림 청소년정치사회 이익 집단 성찰 외환 위기,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 사회문제일반']","['0', '0', '0', '0', '100']","인권연대 기획 · 김진호 , 이찬수 , 김홍미리 , 박미숙 저자(글)",철수와영희,2.0
89,차별은 원숭이도 화나게 한다,청소년 공평 감수성 사회 전체 만연 특별시,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 인문 > 인문학일반 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['40', '0', '20', '20', '20']","복대원 , 선보라 저자(글)",바다출판사,7.0
90,"이재명, 한다면 한다",정치 사업 사람 성과 가능 개발,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']","['57', '29', '0', '0', '14']",백승대 저자(글),매직하우스,7.0
91,딸에게 들려주는 헌법이야기,행복 추구 권력 인권 청소년인문교양 국가 배상 청구 국민,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 법학 > 헌법 > 헌법일반']","['0', '50', '50', '0', '0']",이득진 저자(글),GIST PRESS(광주과학기술원),7.0
92,1일 1단어 1분으로 끝내는 정치공부,내신 논술 시각 자료 빈부 격차 봉준호 기본 지식,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['33', '17', '0', '0', '50']",승지홍 저자(글),글담출판,7.0
93,그리움은 아무에게나 생기지 않습니다,정치 고통 사랑 편지 국민 서문,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']","['71', '9', '14', '3', '4']",박근혜 저자(글),가로세로연구소,599.0
94,왜 법이 문제일까?,청소년 법률 국민 축산물 흠결 저작권법,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['0', '40', '0', '40', '20']",김희균 저자(글),반니,5.0
95,"탄소중립, 어떻게 해결할까?",스모그 온실가스 재난 런던 의정서 전환,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['20', '20', '0', '40', '20']",신방실 저자(글),동아엠앤비,7.0
96,검찰국가의 탄생,정치 정부 정의 인사 사건 등장,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평']","['17', '17', '0', '0', '67']",이춘재 저자(글),서해문집,9.0
97,우크라이나전쟁과 신세계질서,정치 미래 평화 해석 체제 전략,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제분쟁/조정']","['18', '9', '27', '0', '45']",이해영 저자(글),사계절,14.0
98,권위주의적 순간(누드 사철 제본),정치 오늘날 친구 전쟁 입장 목소리,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치'],"['29', '29', '14', '0', '29']",벤 샤피로 저자(글) · 노태정 번역,기파랑,9.0
99,독일현대정치사,메르켈 하르트 루드비히 에어 헬무트 총리,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 독일사', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 기타나라정치']","['0', '100', '0', '0', '0']",문수현 저자(글),역사비평사,3.0
