,title,keyword,category,score,author,publisher,reviewnum
29,평화의 힘,정치 미래 전쟁 용기 정책 국제,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],"['17', '50', '17', '0', '17']",최종건 저자(글),메디치미디어,6.0
30,인공지능은 왜 정치적일 수밖에 없는가,환경 과학 기술 인간 동물 도구,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 사회문제일반', '국내도서 > 컴퓨터/IT > 컴퓨터공학 > 인공지능 > 인공지능일반']","['67', '0', '0', '33', '0']",마크 코켈버그 저자(글) · 배현석 번역,생각이음,3.0
31,법학 에세이,사형 피해자 보호 기독교 신앙 형법 합법 판사,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['23', '15', '0', '23', '38']",곽한영 저자(글),해냄출판사,28.0
32,우리의 불행은 당연하지 않습니다,조선 자본주의 사회 정치 경쟁 위선,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평', '국내도서 > 정치/사회 > 사회학 > 사회학일반 > 시사/사회비평']","['41', '21', '21', '2', '15']",김누리 저자(글),해냄출판사,202.0
33,예정된 전쟁,역사 고통 국제관계 지배 경쟁 평화,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],"['42', '14', '20', '5', '20']",그레이엄 앨리슨 저자(글) · 정혜윤 번역,세종서적,88.0
34,프로테스탄트 윤리와 자본주의 정신(완역본),자본주의 영국 종교 윤리 미국 혁명,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 사회철학'],"['44', '16', '25', '0', '14']",막스 베버 저자(글) · 박문재 번역,현대지성,92.0
35,오늘의 법정을 열겠습니다,낙태죄 태양광 헌법 재판소 전속 논란 합치,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 법학 > 법학일반 > 법학일반서']","['50', '25', '0', '0', '25']",허승 저자(글),북트리거,9.0
36,박정희의 시간들,인도 균형 탐구 완성 시스템 시각,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']","['0', '0', '0', '0', '100']",오인환 저자(글),나남,2.0
37,국가란 무엇인가,신판 정치철학 국가론 진보 정치 정치론 골조,"['국내도서 > 인문 > 철학 > 주제별철학 > 국가/정치윤리', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']","['43', '15', '28', '1', '13']",유시민 저자(글),돌베개,708.0
38,민주주의에 반대한다,정치 도구 구분 주장 유형 비판,"['국내도서 > 정치/사회 > 사회학 > 사회사상 > 민주주의', '국내도서 > 정치/사회 > 정치/외교 > 정치사상 > 정치사상']","['0', '40', '10', '10', '40']",제이슨 브레넌 저자(글) · 홍권희 번역,아라크네,10.0
39,미국이 불타오른다,사회 미래 지역 목소리 운동 현상,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치'],"['100', '0', '0', '0', '0']",레이나 립시츠 저자(글) · 권채령 번역 · 송인근 해설,롤러코스터,1.0
40,유튜브 쫌 아는 10대,규제 시민 의식 알고리즘 긍정 허위 리터,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['53', '27', '7', '13', '0']",금준경 저자(글) · 하루치 그림/만화,풀빛,17.0
